zpid,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher
29335211,1,0,1,1,0.9,7.0,1298,16
29334963,1,0,1,1,1.0333333333333334,7.0,1298,16
29346151,1,0,1,1,2.1666666666666665,7.0,1177,16
29410363,1,0,1,1,1.2,7.0,1177,16
29345651,1,0,1,1,1.1666666666666667,7.0,1177,16
29402860,1,0,1,1,1.8333333333333333,6.0,1196,16
29348147,1,0,1,1,1.7666666666666668,7.0,1177,16
29333705,1,0,1,1,0.9666666666666668,7.0,1298,16
29410359,1,0,1,1,1.1333333333333333,7.0,1177,16
29398358,1,0,1,1,1.2666666666666666,7.333333333333332,1142,15
29344476,1,0,1,1,2.333333333333333,7.0,1177,16
29402855,1,0,1,1,1.7666666666666666,6.0,1196,16
29348143,1,0,1,1,1.7666666666666668,7.0,1177,16
29348141,1,0,1,1,1.7666666666666668,7.0,1177,16
29338694,1,0,1,1,1.2333333333333334,7.0,1298,16
2086530850,1,0,1,1,1.5,7.333333333333332,1142,15
83124693,1,0,1,1,1.2333333333333334,7.0,1298,16
29407850,1,0,1,1,0.8666666666666667,6.333333333333332,1087,16
29342639,1,0,1,1,1.0666666666666669,7.0,1177,16
83124692,1,0,1,1,1.2333333333333334,7.0,1298,16
2145190846,1,0,1,1,1.3,6.0,1196,16
249889637,1,0,1,1,1.7333333333333334,7.0,1177,16
249911341,1,0,1,1,1.2333333333333332,7.0,1177,16
29342972,1,0,1,1,1.0,7.0,1177,16
29405973,1,0,1,1,1.933333333333333,6.0,1196,16
29333684,1,0,1,1,0.9333333333333332,7.0,1298,16
29401340,1,0,1,1,1.4666666666666666,7.333333333333332,1142,15
29345637,1,0,1,1,1.3,7.0,1177,16
29397840,1,0,1,1,1.3333333333333333,6.0,1196,16
29348135,1,0,1,1,1.9666666666666663,7.0,1177,16
29397338,1,0,1,1,1.4666666666666668,7.333333333333332,1142,15
29335679,1,0,1,1,1.1,7.0,1298,16
29350127,1,0,1,1,2.0,7.0,1177,16
29335179,1,0,1,1,0.8999999999999999,7.0,1298,16
29398337,1,0,1,1,1.2666666666666666,7.333333333333332,1142,15
29345766,1,0,1,1,1.5666666666666664,7.0,1177,16
